Month,	reactJS,	AngularJS,	VuejS,	NodeJS,
2009-10,	0,	0,	0,	0,
2009-11,	0,	0,	0,	0,
2009-12,	0,	0,	0,	0,
2010-01,	0,	0,	0,	0,
2010-02,	0,	0,	0,	0,
2010-03,	0,	0,	0,	1,
2010-04,	0,	0,	0,	1,
2010-05,	0,	0,	0,	1,
2010-06,	0,	0,	0,	1,
2010-07,	0,	0,	0,	1,
2010-08,	0,	1,	0,	2,
2010-09,	0,	0,	0,	2,
2010-10,	0,	0,	0,	2,
2010-11,	0,	0,	0,	2,
2010-12,	0,	0,	0,	2,
2011-01,	0,	1,	0,	3,
2011-02,	0,	0,	0,	3,
2011-03,	0,	1,	0,	4,
2011-04,	0,	1,	0,	5,
2011-05,	0,	1,	0,	5,
2011-06,	0,	1,	0,	5,
2011-07,	1,	1,	0,	6,
2011-08,	0,	1,	0,	6,
2011-09,	0,	1,	0,	7,
2011-10,	0,	1,	0,	6,
2011-11,	0,	1,	0,	7,
2011-12,	0,	1,	0,	8,
2012-01,	0,	1,	0,	9,
2012-02,	0,	1,	0,	10,
2012-03,	0,	1,	0,	9,
2012-04,	0,	1,	0,	9,
2012-05,	0,	1,	0,	10,
2012-06,	0,	2,	0,	9,
2012-07,	0,	2,	0,	10,
2012-08,	0,	3,	0,	11,
2012-09,	0,	4,	0,	11,
2012-10,	0,	4,	0,	11,
2012-11,	1,	4,	0,	11,
2012-12,	0,	5,	0,	10,
2013-01,	0,	7,	0,	11,
2013-02,	0,	9,	0,	12,
2013-03,	0,	12,	0,	13,
2013-04,	0,	14,	0,	13,
2013-05,	1,	16,	0,	14,
2013-06,	1,	19,	0,	13,
2013-07,	1,	21,	0,	15,
2013-08,	1,	23,	0,	15,
2013-09,	1,	26,	0,	15,
2013-10,	1,	32,	0,	17,
2013-11,	1,	32,	0,	17,
2013-12,	1,	33,	0,	18,
2014-01,	1,	41,	0,	18,
2014-02,	1,	46,	1,	19,
2014-03,	1,	50,	1,	21,
2014-04,	1,	55,	1,	21,
2014-05,	1,	58,	1,	20,
2014-06,	1,	61,	1,	19,
2014-07,	1,	68,	1,	20,
2014-08,	1,	68,	1,	19,
2014-09,	1,	75,	1,	20,
2014-10,	2,	80,	1,	21,
2014-11,	2,	77,	1,	20,
2014-12,	2,	77,	1,	19,
2015-01,	3,	74,	1,	21,
2015-02,	4,	81,	1,	23,
2015-03,	4,	85,	1,	26,
2015-04,	4,	88,	1,	28,
2015-05,	4,	82,	1,	25,
2015-06,	4,	90,	1,	29,
2015-07,	5,	95,	1,	29,
2015-08,	4,	88,	1,	27,
2015-09,	5,	93,	1,	32,
2015-10,	5,	92,	1,	33,
2015-11,	5,	87,	1,	33,
2015-12,	5,	88,	1,	33,
2016-01,	5,	84,	1,	34,
2016-02,	6,	96,	1,	37,
2016-03,	6,	95,	2,	38,
2016-04,	6,	93,	2,	39,
2016-05,	6,	94,	2,	39,
2016-06,	6,	100,	2,	41,
2016-07,	5,	90,	2,	38,
2016-08,	6,	87,	3,	37,
2016-09,	7,	85,	3,	39,
2016-10,	7,	81,	4,	40,
2016-11,	7,	85,	5,	45,
2016-12,	7,	77,	5,	43,
2017-01,	7,	77,	6,	44,
2017-02,	8,	82,	7,	52,
2017-03,	9,	85,	8,	52,
2017-04,	8,	78,	8,	49,
2017-05,	9,	75,	8,	49,
2017-06,	9,	72,	9,	49,
2017-07,	8,	70,	9,	49,
2017-08,	9,	70,	9,	47,
2017-09,	9,	65,	10,	49,
2017-10,	9,	62,	10,	48,
2017-11,	9,	64,	11,	50,
2017-12,	9,	53,	10,	46,
2018-01,	10,	55,	11,	49,
2018-02,	10,	58,	12,	51,
2018-03,	11,	55,	12,	53,
2018-04,	10,	52,	12,	53,
2018-05,	11,	51,	13,	54,
2018-06,	11,	48,	12,	52,
2018-07,	11,	45,	13,	54,
2018-08,	11,	43,	13,	52,
2018-09,	10,	40,	12,	50,
2018-10,	11,	40,	13,	52,
2018-11,	11,	35,	12,	52,
2018-12,	10,	30,	11,	45,
2019-01,	10,	32,	12,	48,
2019-02,	11,	34,	13,	52,
2019-03,	11,	32,	13,	53,
2019-04,	11,	29,	13,	52,
2019-05,	11,	30,	13,	52,
2019-06,	12,	27,	13,	53,
2019-07,	12,	29,	14,	55,
2019-08,	12,	25,	13,	53,
2019-09,	13,	25,	14,	54,
2019-10,	12,	24,	14,	53,
2019-11,	11,	21,	13,	50,
2019-12,	11,	17,	12,	47,
2020-01,	12,	19,	12,	49,
2020-02,	12,	19,	14,	54,
2020-03,	11,	16,	13,	51,
2020-04,	11,	14,	13,	54,
2020-05,	11,	12,	13,	52,
2020-06,	12,	14,	14,	53,
2020-07,	12,	13,	14,	55,
2020-08,	11,	12,	12,	48,
2020-09,	11,	12,	12,	50,
2020-10,	9,	10,	10,	38,
2020-11,	8,	9,	9,	35,
2020-12,	9,	8,	9,	34,
2021-01,	8,	8,	9,	35,
2021-02,	9,	9,	9,	37,
2021-03,	9,	9,	9,	41,
2021-04,	9,	9,	9,	40,
2021-05,	9,	8,	9,	40,
2021-06,	10,	8,	9,	40,
2021-07,	10,	8,	9,	40,
2021-08,	9,	7,	8,	38,
2021-09,	10,	8,	9,	42,
2021-10,	9,	8,	9,	40,
2021-11,	10,	8,	9,	43,
2021-12,	10,	7,	9,	42,
2022-01,	10,	7,	9,	42,
2022-02,	11,	8,	8,	43,
