Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
MMM,3M,Industrial Conglomerates,152.2,21.286713,0.0199,7.15,75.652176,155.0,83294183424,8117000192,2.5520616,17.855467,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
AOS,A. O. Smith,Building Products,67.3,18.539946,0.0196,3.63,66.76,92.45,9758164992,809100032,2.5060778,5.091157,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS
ABT,Abbott Laboratories,Health Care Equipment,127.93,16.744764,0.0202,7.64,99.71,129.85,221889478656,10824999936,5.3834457,5.5757494,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie,Biotechnology,183.9,64.3007,0.0373,2.86,153.58,207.32,324977033216,25629999104,5.8519626,53.88221,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture,IT Consulting & Other Services,384.95,32.294464,0.017,11.92,278.69,387.51,240778526720,11065912320,3.7101948,8.508687,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ADBE,Adobe Inc.,Application Software,437.45,35.42105,,12.35,403.75,638.25,190421991424,8134000128,9.090657,13.383815,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AMD,Advanced Micro Devices,Semiconductors,115.95,105.40909,,1.1,112.8,227.3,192886292480,4479000064,7.939341,3.3023837,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD
AES,AES Corporation,Independent Power Producers & Energy Traders,11.0,7.6388884,0.0615,1.44,10.81,22.21,7821297152,3334000128,0.63670605,2.3773503,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AFL,Aflac,Life & Health Insurance,107.38,15.955423,0.0214,6.73,75.44,115.5,59652595712,4779250176,3.4477284,2.4075692,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies,Life Sciences Tools & Services,151.52,34.126125,,,124.16,155.35,43273355264,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
APD,Air Products,Industrial Gases,335.26,19.469223,0.0214,17.22,212.24,337.775,74554785792,4296600064,6.1612473,4.380537,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines",131.17,45.387543,,2.89,110.38,170.1,81951334400,1672999936,7.560086,9.859441,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABNB
AKAM,Akamai Technologies,Internet Services & Infrastructure,99.9,29.556213,,3.38,84.7,129.17,15007678464,1118397952,3.7838497,3.1387458,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALB,Albemarle Corporation,Specialty Chemicals,84.19,,0.0189,-16.76,71.97,143.19,9895693312,-935078016,1.5219512,1.2360888,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
