round,Sebastian_Vettel,Fernando_Alonso,"Kimi_Räikkönen",Lewis_Hamilton,Jenson_button
1,18,10,6,15,25
2,18,35,16,30,25
3,28,37,16,45,43
4,53,43,34,49,43
5,61,61,49,53,45
6,73,76,51,63,45
7,85,86,55,88,45
8,85,111,73,88,49
9,100,129,83,92,50
10,110,154,98,92,68
11,122,164,116,117,76
12,140,164,131,117,101
13,140,179,141,142,101
14,165,194,149,142,119
15,190,194,157,152,131
16,215,209,167,153,131
17,240,227,173,165,141
18,255,245,198,165,153
19,273,260,206,190,163
20,281,278,207,190,188
