date,min,max
2023-01-01,-3.4,1.2
2023-01-02,-2.8,-0.1
2023-01-03,-2.5,6.4
2023-01-04,0.5,7.5
2023-01-05,-0.2,4.2
2023-01-06,1.7,8.0
2023-01-07,5.9,9.5
2023-01-08,5.6,8.4
2023-01-09,4.1,9.4
2023-01-10,5.1,7.8
2023-01-11,5.2,7.9
2023-01-12,4.3,6.0
2023-01-13,0.0,5.6
2023-01-14,-1.4,5.1
2023-01-15,1.6,3.9
2023-01-16,-0.3,3.3
2023-01-17,0.1,3.0
2023-01-18,-0.3,2.4
2023-01-19,-3.0,1.2
2023-01-20,-4.4,-0.1
2023-01-21,-3.6,3.0
2023-01-22,0.6,3.0
2023-01-23,0.5,4.7
2023-01-24,4.8,7.4
2023-01-25,5.0,8.4
2023-01-26,-0.8,5.2
2023-01-27,-1.1,3.9
2023-01-28,3.4,6.1
2023-01-29,4.5,8.5
2023-01-30,0.4,5.3
2023-01-31,0.3,5.9
2023-02-01,0.4,5.8
2023-02-02,-1.4,3.7
2023-02-03,-0.5,5.8
2023-02-04,-0.3,3.8
2023-02-05,1.6,5.9
2023-02-06,5.0,7.0
2023-02-07,5.2,7.0
2023-02-08,6.0,7.7
2023-02-09,0.5,6.4
2023-02-10,0.2,8.9
2023-02-11,6.4,8.5
2023-02-12,7.0,8.1
2023-02-13,5.9,8.1
2023-02-14,4.9,6.1
2023-02-15,4.8,9.6
2023-02-16,3.7,7.0
2023-02-17,2.3,7.0
2023-02-18,-0.2,2.6
2023-02-19,-0.3,5.9
2023-02-20,4.4,8.9
2023-02-21,4.5,6.7
2023-02-22,2.3,6.1
2023-02-23,-0.2,3.4
2023-02-24,1.1,4.3
2023-02-25,0.3,3.8
2023-02-26,0.5,5.5
2023-02-27,0.0,7.1
2023-02-28,0.3,7.3
2023-03-01,1.8,8.5
2023-03-02,-0.4,7.0
2023-03-03,-0.4,6.0
2023-03-04,-1.6,2.4
2023-03-05,-4.1,1.7
2023-03-06,-4.4,1.3
2023-03-07,-4.3,1.7
2023-03-08,-5.1,-1.3
2023-03-09,-8.3,-0.6
2023-03-10,-8.3,-0.1
2023-03-11,-5.0,-0.6
2023-03-12,-4.7,3.3
2023-03-13,1.6,4.0
2023-03-14,-1.5,3.2
2023-03-15,-1.9,4.7
2023-03-16,-2.1,4.6
2023-03-17,3.6,7.0
2023-03-18,0.9,8.5
2023-03-19,3.3,7.2
2023-03-20,1.2,6.4
2023-03-21,1.1,7.2
2023-03-22,4.8,8.1
2023-03-23,5.6,8.7
2023-03-24,4.4,8.1
2023-03-25,1.5,6.9
2023-03-26,-0.7,4.2
2023-03-27,-0.4,5.1
2023-03-28,-0.7,3.1
2023-03-29,0.2,7.0
2023-03-30,1.8,5.8
2023-03-31,2.1,10.4
2023-04-01,0.0,7.8
2023-04-02,0.2,8.9
2023-04-03,2.4,7.0
2023-04-04,1.7,9.0
2023-04-05,3.6,9.2
2023-04-06,2.2,6.6
2023-04-07,2.5,11.2
2023-04-08,1.5,11.2
2023-04-09,5.8,9.6
2023-04-10,8.0,11.5
2023-04-11,5.6,11.9
2023-04-12,5.6,11.9
2023-04-13,8.0,12.3
2023-04-14,7.2,12.3
2023-04-15,4.5,12.3
2023-04-16,3.1,11.9
2023-04-17,4.7,13.5
2023-04-18,5.1,15.3
2023-04-19,5.5,15.7
2023-04-20,6.4,16.8
2023-04-21,6.2,15.9
2023-04-22,5.9,15.5
2023-04-23,6.6,12.1
2023-04-24,3.5,7.0
