"year","state","state_po","state_fips","state_cen","state_ic","office","candidate","party_detailed","writein","candidatevotes","totalvotes","version","notes","party_simplified"
2008,"Alabama","AL",1,63,41,"US PRESIDENT","MCCAIN, JOHN","REPUBLICAN",FALSE,1266546,2099819,"20210113",NA,"REPUBLICAN"
2008,"Alabama","AL",1,63,41,"US PRESIDENT","OBAMA, BARACK H.","DEMOCRAT",FALSE,813479,2099819,"20210113",NA,"DEMOCRAT"
2008,"Alabama","AL",1,63,41,"US PRESIDENT","","INDEPENDENT",FALSE,16089,2099819,"20210113",NA,"OTHER"
2008,"Alabama","AL",1,63,41,"US PRESIDENT","","",TRUE,3705,2099819,"20210113",NA,"OTHER"
2008,"Alaska","AK",2,94,81,"US PRESIDENT","MCCAIN, JOHN","REPUBLICAN",FALSE,193841,326197,"20210113",NA,"REPUBLICAN"
2008,"Alaska","AK",2,94,81,"US PRESIDENT","OBAMA, BARACK H.","DEMOCRAT",FALSE,123594,326197,"20210113",NA,"DEMOCRAT"
2008,"Alaska","AK",2,94,81,"US PRESIDENT","NADER, RALPH","INDEPENDENT",FALSE,3783,326197,"20210113",NA,"OTHER"
2008,"Alaska","AK",2,94,81,"US PRESIDENT","","",TRUE,1730,326197,"20210113",NA,"OTHER"
2008,"Alaska","AK",2,94,81,"US PRESIDENT","BALDWIN, CHARLES """"CHUCK""""","ALASKAN INDEPENDENCE PARTY",FALSE,1660,326197,"20210113",NA,"OTHER"
2008,"Alaska","AK",2,94,81,"US PRESIDENT","BARR, BOB","LIBERTARIAN",FALSE,1589,326197,"20210113",NA,"LIBERTARIAN"
2008,"Arizona","AZ",4,86,61,"US PRESIDENT","MCCAIN, JOHN","REPUBLICAN",FALSE,1230111,2293475,"20210113",NA,"REPUBLICAN"
2008,"Arizona","AZ",4,86,61,"US PRESIDENT","OBAMA, BARACK H.","DEMOCRAT",FALSE,1034707,2293475,"20210113",NA,"DEMOCRAT"
2008,"Arizona","AZ",4,86,61,"US PRESIDENT","BARR, BOB","LIBERTARIAN",FALSE,12555,2293475,"20210113",NA,"LIBERTARIAN"
2008,"Arizona","AZ",4,86,61,"US PRESIDENT","NADER, RALPH","INDEPENDENT",FALSE,11301,2293475,"20210113",NA,"OTHER"
2008,"Arizona","AZ",4,86,61,"US PRESIDENT","MCKINNEY, CYNTHIA","GREEN",FALSE,3406,2293475,"20210113",NA,"OTHER"
2008,"Arizona","AZ",4,86,61,"US PRESIDENT","","",TRUE,1395,2293475,"20210113",NA,"OTHER"
2008,"Arkansas","AR",5,71,42,"US PRESIDENT","MCCAIN, JOHN","REPUBLICAN",FALSE,638017,1086617,"20210113",NA,"REPUBLICAN"
2008,"Arkansas","AR",5,71,42,"US PRESIDENT","OBAMA, BARACK H.","DEMOCRAT",FALSE,422310,1086617,"20210113",NA,"DEMOCRAT"
2008,"Arkansas","AR",5,71,42,"US PRESIDENT","NADER, RALPH","INDEPENDENT",FALSE,12882,1086617,"20210113",NA,"OTHER"
2008,"Arkansas","AR",5,71,42,"US PRESIDENT","BARR, BOB","LIBERTARIAN",FALSE,4776,1086617,"20210113",NA,"LIBERTARIAN"
2008,"Arkansas","AR",5,71,42,"US PRESIDENT","BALDWIN, CHARLES """"CHUCK""""","CONSTITUTION PARTY",FALSE,4023,1086617,"20210113",NA,"OTHER"
2008,"Arkansas","AR",5,71,42,"US PRESIDENT","MCKINNEY, CYNTHIA","GREEN",FALSE,3470,1086617,"20210113",NA,"OTHER"
2008,"Arkansas","AR",5,71,42,"US PRESIDENT","LA RIVA, GLORIA ESTELLA","SOCIALISM AND LIBERATION PARTY",FALSE,1139,1086617,"20210113",NA,"OTHER"
2008,"California","CA",6,93,71,"US PRESIDENT","OBAMA, BARACK H.","DEMOCRAT",FALSE,8274473,13561900,"20210113",NA,"DEMOCRAT"
2008,"California","CA",6,93,71,"US PRESIDENT","MCCAIN, JOHN","REPUBLICAN",FALSE,5011781,13561900,"20210113",NA,"REPUBLICAN"
2008,"California","CA",6,93,71,"US PRESIDENT","NADER, RALPH","PEACE & FREEDOM",FALSE,108381,13561900,"20210113",NA,"OTHER"
2008,"California","CA",6,93,71,"US PRESIDENT","BARR, BOB","LIBERTARIAN",FALSE,67582,13561900,"20210113",NA,"LIBERTARIAN"
2008,"California","CA",6,93,71,"US PRESIDENT","KEYES, ALAN","AMERICAN INDEPENDENT PARTY",FALSE,40673,13561900,"20210113",NA,"OTHER"
2008,"California","CA",6,93,71,"US PRESIDENT","MCKINNEY, CYNTHIA","GREEN",FALSE,38774,13561900,"20210113",NA,"OTHER"
2008,"California","CA",6,93,71,"US PRESIDENT","","INDEPENDENT",TRUE,20236,13561900,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","OBAMA, BARACK H.","DEMOCRAT",FALSE,1288576,2401361,"20210113",NA,"DEMOCRAT"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","MCCAIN, JOHN","REPUBLICAN",FALSE,1073589,2401361,"20210113",NA,"REPUBLICAN"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","NADER, RALPH","INDEPENDENT",FALSE,13350,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","BARR, BOB","LIBERTARIAN",FALSE,10897,2401361,"20210113",NA,"LIBERTARIAN"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","BALDWIN, CHARLES """"CHUCK""""","CONSTITUTION PARTY",FALSE,6233,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","KEYES, ALAN","AMERICA'S INDEPENDENT PARTY",FALSE,3051,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","MCKINNEY, CYNTHIA","GREEN",FALSE,2822,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","MCENULTY, FRANK","UNAFFILIATED",FALSE,828,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","JAY, CHARLES","BOSTON TEA PARTY",FALSE,598,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","ALLEN, JONATHAN","HEARTQUAKE '08",FALSE,348,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","STEVENS, THOMAS R.","OBJECTIVIST PARTY",FALSE,336,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","MOORE, BRIAN","SOCIALIST",FALSE,226,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","LA RIVA, GLORIA ESTELLA","SOCIALISM AND LIBERATION PARTY",FALSE,158,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","HARRIS, JAMES","SOCIALIST WORKERS",FALSE,154,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","LYTTLE, BRADFORD","U.S. PACIFIST PARTY",FALSE,110,2401361,"20210113",NA,"OTHER"
2008,"Colorado","CO",8,84,62,"US PRESIDENT","AMONDSON, GENE","PROHIBITION",FALSE,85,2401361,"20210113",NA,"OTHER"
2008,"Connecticut","CT",9,16,1,"US PRESIDENT","OBAMA, BARACK H.","DEMOCRAT",FALSE,997772,1646792,"20210113",NA,"DEMOCRAT"
2008,"Connecticut","CT",9,16,1,"US PRESIDENT","MCCAIN, JOHN","REPUBLICAN",FALSE,629428,1646792,"20210113",NA,"REPUBLICAN"
2008,"Connecticut","CT",9,16,1,"US PRESIDENT","NADER, RALPH","INDEPENDENT",FALSE,19162,1646792,"20210113",NA,"OTHER"
2008,"Connecticut","CT",9,16,1,"US PRESIDENT","","",TRUE,430,1646792,"20210113",NA,"OTHER"
2008,"Delaware","DE",10,51,11,"US PRESIDENT","OBAMA, BARACK H.","DEMOCRAT",FALSE,255459,412412,"20210113",NA,"DEMOCRAT"
2008,"Delaware","DE",10,51,11,"US PRESIDENT","MCCAIN, JOHN","REPUBLICAN",FALSE,152374,412412,"20210113",NA,"REPUBLICAN"
2008,"Delaware","DE",10,51,11,"US PRESIDENT","NADER, RALPH","INDEPENDENT",FALSE,2401,412412,"20210113",NA,"OTHER"
