State;2020;2016;2012;2008
Alabama;9;9;9;9
Alaska;3;3;3;3
Arizona;11;11;11;10
Arkansas;6;6;6;6
California;55;55;55;55
Colorado;9;9;9;9
Connecticut;7;7;7;7
Delaware;3;3;3;3
District of Columbia;3;3;3;3
Florida;29;29;29;27
Georgia;16;16;16;15
Hawaii;4;4|3|0|1;4;4
Idaho;4;4;4;4
Illinois;20;20;20;21
Indiana;11;11;11;11
Iowa;6;6;6;7
Kansas;6;6;6;6
Kentucky;8;8;8;8
Louisiana;8;8;8;9
Maine;4|3|1|0;4|3|1|0;4;4
Maryland;10;10;10;10
Massachusetts;11;11;11;12
Michigan;16;16;16;17
Minnesota;10;10;10;10
Mississippi;6;6;6;6
Missouri;10;10;10;11
Montana;3;3;3;3
Nebraska;5|4|1|0;5;5;5
Nevada;6;6;6;5
New Hampshire;4;4;4;4
New Jersey;14;14;14;15
New Mexico;5;5;5;5
New York;29;29;29;31
North Carolina;15;15;15;15
North Dakota;3;3;3;3
Ohio;18;18;18;20
Oklahoma;7;7;7;7
Oregon;7;7;7;7
Pennsylvania;20;20;20;21
Rhode Island;4;4;4;4
South Carolina;9;9;9;8
South Dakota;3;3;3;3
Tennessee;11;11;11;11
Texas;38;38|36|0|2;38;34
Utah;6;6;6;5
Vermont;3;3;3;3
Virginia;13;13;13;13
Washington;12;12|8|0|4;12;11
West Virginia;5;5;5;5
Wisconsin;10;10;10;10
Wyoming;3;3;3;3
