ageMonths,boysLow,boysMedian,boysHigh,girlsLow,girlsMedian,girlsHigh
0,46.3,49.9,53.4,45.6,49.1,52.7
3,57.6,61.4,65.3,55.8,59.8,63.8
6,63.6,67.6,71.6,61.5,65.7,70.0
9,67.7,72.0,76.2,65.6,70.1,74.7
12,71.3,75.7,80.2,69.2,74.0,78.9
15,74.4,79.1,83.9,72.4,77.5,82.7
18,77.2,82.3,87.3,75.2,80.7,86.2
21,79.7,85.1,90.5,77.9,83.7,89.4
24,81.0,87.1,93.2,79.3,85.7,92.2
30,85.1,91.9,98.7,83.6,90.7,97.7
36,88.7,96.1,103.5,87.4,95.1,102.7
42,91.9,99.9,107.8,90.9,99.0,107.2
48,94.9,103.3,111.7,94.2,102.7,111.4
54,97.8,106.7,115.5,97.1,106.2,115.2
60,100.7,110.0,119.2,99.9,109.4,118.9
61,101.1,110.3,119.4,100.1,109.6,119.2
72,106.1,116.0,125.8,104.9,115.1,125.4
84,111.2,121.7,132.3,109.9,120.8,131.7
96,116.0,127.3,138.5,115.0,126.6,138.2
108,120.6,132.6,144.6,120.3,132.5,144.7
120,125.0,137.8,150.5,125.9,138.6,151.4
132,129.7,143.1,156.6,131.7,145.0,158.3
144,134.9,149.1,163.3,137.6,151.2,164.9
156,141.2,156.0,170.9,142.5,156.4,170.3
168,147.8,163.2,178.6,145.9,159.8,173.7
180,153.4,169.0,184.5,147.9,161.7,175.4
192,157.4,172.9,188.4,148.9,162.5,176.1
204,159.9,175.2,190.5,149.5,162.9,176.3
216,161.2,176.1,191.1,149.8,163.1,176.3
228,161.9,176.5,191.2,150.1,163.2,176.3
