"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Population (Total)","SP.POP.TOTL","55435","56226","56697","57029","57360","57712","58049","58385","58724","59065","59438","59849","60239","60525","60655","60589","60366","60106","59978","60096","60567","61344","62204","62831","63028","62644","61835","61077","61032","62148","64623","68235","72498","76700","80326","83195","85447","87276","89004","90858","92894","94995","97015","98742","100031","100830","101219","101344","101418","101597","101932","102384","",
"Andorra","AND","Population (Total)","SP.POP.TOTL","14376","15376","16410","17470","18551","19646","20755","21888","23061","24279","25560","26892","28231","29514","30706","31781","32769","33746","34819","36063","37502","39112","40862","42704","44597","46515","48458","50431","52449","54511","56674","58904","61003","62707","63854","64274","64090","63799","64084","65399","68000","71639","75643","79060","81223","81877","81292","79969","78659","77907","77865","78360","",
"Afghanistan","AFG","Population (Total)","SP.POP.TOTL","8953544","9141783","9339507","9547131","9765015","9990125","10221902","10465770","10729191","11015621","11323446","11644377","11966352","12273589","12551790","12806810","13034460","13199597","13257128","13180431","12963788","12634494","12241928","11854205","11528977","11262439","11063107","11013345","11215323","11731193","12612043","13811876","15175325","16485018","17586073","18415307","19021226","19496836","19987071","20595360","21347782","22202806","23116142","24018682","24860855","25631282","26349243","27032197","27708187","28397812","29105480","29824536","",
"Angola","AGO","Population (Total)","SP.POP.TOTL","5056688","5150076","5245015","5339893","5433841","5526653","5619643","5715372","5817283","5928087","6049214","6180863","6323057","6475333","6637628","6808733","6989550","7184444","7399204","7637141","7901870","8190093","8489864","8784753","9063646","9320678","9561022","9798055","10051133","10333844","10652727","11002758","11372156","11743432","12104952","12451945","12791388","13137542","13510616","13924930","14385283","14886574","15421075","15976715","16544376","17122409","17712824","18314441","18926650","19549124","20180490","20820525","",
"Albania","ALB","Population (Total)","SP.POP.TOTL","1668531","1719181","1770530","1822299","1874302","1926382","1978582","2031167","2084532","2138966","2194588","2251320","2309029","2367499","2426592","2486256","2546617","2607936","2670572","2734776","2799345","2863902","2930351","3001325","3077930","3162225","3251512","3336434","3404408","3446882","3459763","3446858","3417280","3384367","3357858","3341043","3331317","3325456","3317941","3304948","3286084","3263596","3239385","3216197","3196130","3179573","3166222","3156608","3151185","3150143","3153883","3162083","",
"Arab World","ARB","Population (Total)","SP.POP.TOTL","96058179.4","98728994.8","101496308.2","104359772.6","107318159","110379638.8","113543760.2","116787194.6","120078092","123400916","126726106.397961","130095625.285716","133592409.285716","137327448.397961","141376124","145768517.199181","150474227.832646","155422735.353867","160508833.889378","165653287","170835488.937566","176068130.531463","181346069.988628","186631962.9404","192047000.969484","197522279.579447","202985205.363535","208460436.98112","213911862.4","221488293","227470711","231443007","237418436","243271554","250504422","255932514","261260242","266537558","271912978","277561423","283493089","289680968","296095945","302824676","309824383","317125787","324693498","332424892","340149038","347737036","355137048","362466629","",
"United Arab Emirates","ARE","Population (Total)","SP.POP.TOTL","97727","108774","121574","134411","146341","156890","167360","180762","201157","231529","272211","322439","382599","452848","532742","623450","723617","827191","926112","1014825","1090660","1155765","1215380","1277300","1347218","1426915","1514798","1609170","1707085","1806498","1908002","2012977","2121143","2232159","2346305","2470810","2608993","2753498","2893648","3026352","3132104","3223969","3369254","3658658","4148883","4875639","5797347","6798635","7718319","8441537","8925096","9205651","",
"Argentina","ARG","Population (Total)","SP.POP.TOTL","20959241","21295290","21630854","21963952","22293817","22618887","22941477","23269302","23612675","23978532","24370660","24785830","25215328","25646533","26070443","26483835","26889764","27293093","27701412","28120135","28550123","28989069","29435404","29886564","30340419","30796481","31254574","31713147","32170407","32624874","33075194","33520803","33961947","34399343","34833168","35264070","35690778","36109342","36514558","36903067","37273361","37627545","37970411","38308779","38647854","38988923","39331357","39676083","40023641","40374224","40728738","41086927","",
"Armenia","ARM","Population (Total)","SP.POP.TOTL","1934239","2002170","2070427","2138133","2204650","2269475","2332624","2394635","2456370","2518408","2580894","2643464","2705584","2766495","2825650","2882831","2938181","2991954","3044564","3096298","3145885","3192877","3239212","3287588","3339147","3396511","3457054","3510439","3542720","3544695","3511912","3449497","3369673","3289943","3223173","3173425","3137652","3112958","3093820","3076098","3059960","3047002","3036032","3025652","3014917","3002911","2989882","2977488","2968154","2963496","2964120","2969081","",
"American Samoa","ASM","Population (Total)","SP.POP.TOTL","20478","21118","21883","22701","23518","24320","25116","25886","26615","27292","27916","28490","29014","29491","29932","30325","30690","31105","31670","32456","33488","34740","36165","37687","39247","40835","42448","44049","45591","47044","48379","49597","50725","51807","52874","53926","54942","55899","56768","57522","58176","58729","59117","59262","59117","58652","57919","57053","56245","55636","55274","55128","",
"Antigua and Barbuda","ATG","Population (Total)","SP.POP.TOTL","55403","56311","57368","58500","59653","60818","62002","63176","64307","65369","66338","67205","67972","68655","69253","69782","70223","70508","70553","70301","69750","68950","67958","66863","65744","64605","63484","62538","61967","61906","62412","63434","64868","66550","68349","70245","72232","74206","76041","77648","78972","80030","80904","81718","82565","83467","84397","85349","86300","87233","88152","89069","",
"Australia","AUS","Population (Total)","SP.POP.TOTL","10483000","10742000","10950000","11167000","11388000","11651000","11799000","12009000","12263000","12507000","12937000","13177000","13380000","13723000","13893000","14033000","14192000","14358000","14514000","14692000","14927000","15178000","15369000","15544000","15758000","16018400","16263900","16532200","16814400","17065100","17284000","17495000","17667000","17855000","18072000","18311000","18517000","18711000","18926000","19153000","19413000","19651400","19895400","20127400","20394800","20697900","21015900","21384400","21778800","22065300","22323900","22683600","",
