# ----------------------------------------
highcharts.com
Daily visits
September 5, 2010	October 5, 2010
# ----------------------------------------

# ----------------------------------------
# Graph
# ----------------------------------------
Day	All Visits (Segment)	New Visitors (Segment)
Sunday, September 5, 2010	966	433
Monday, September 6, 2010	2,475	983
Tuesday, September 7, 2010	3,336	1,463
Wednesday, September 8, 2010	3,211	1,316
Thursday, September 9, 2010	3,229	1,351
Friday, September 10, 2010	2,802	1,270
Saturday, September 11, 2010	1,168	604
Sunday, September 12, 2010	1,110	498
Monday, September 13, 2010	3,112	1,352
Tuesday, September 14, 2010	3,590	1,626
Wednesday, September 15, 2010	3,529	1,549
Thursday, September 16, 2010	3,519	1,574
Friday, September 17, 2010	3,696	1,680
Saturday, September 18, 2010	1,400	677
Sunday, September 19, 2010	1,302	603
Monday, September 20, 2010	3,348	1,472
Tuesday, September 21, 2010	3,606	1,570
Wednesday, September 22, 2010	3,320	1,438
Thursday, September 23, 2010	2,677	1,140
Friday, September 24, 2010	2,795	1,256
Saturday, September 25, 2010	1,299	589
Sunday, September 26, 2010	1,189	533
Monday, September 27, 2010	3,189	1,253
Tuesday, September 28, 2010	3,223	1,266
Wednesday, September 29, 2010	3,231	1,249
Thursday, September 30, 2010	3,608	1,684
Friday, October 1, 2010	2,945	1,185
Saturday, October 2, 2010	1,058	460
Sunday, October 3, 2010	1,114	499
Monday, October 4, 2010	2,774	1,131
Tuesday, October 5, 2010	2,679	1,047

# ----------------------------------------
# Table
# ----------------------------------------
Day	Visits	New Visits
Friday, September 17, 2010
All Visits	3696	1680
New Visitors	1680	1680
% of Total	0.45454545454545453	1.0
Thursday, September 30, 2010
All Visits	3608	1684
New Visitors	1684	1684
% of Total	0.46674057649667405	1.0
Tuesday, September 21, 2010
All Visits	3606	1570
New Visitors	1570	1570
% of Total	0.4353854686633389	1.0
Tuesday, September 14, 2010
All Visits	3590	1626
New Visitors	1626	1626
% of Total	0.452924791086351	1.0
Wednesday, September 15, 2010
All Visits	3529	1549
New Visitors	1549	1549
% of Total	0.4389345423632757	1.0
Thursday, September 16, 2010
All Visits	3519	1574
New Visitors	1574	1574
% of Total	0.44728616084114803	1.0
Monday, September 20, 2010
All Visits	3348	1472
New Visitors	1472	1472
% of Total	0.43966547192353644	1.0
Tuesday, September 7, 2010
All Visits	3336	1463
New Visitors	1463	1463
% of Total	0.4385491606714628	1.0
Wednesday, September 22, 2010
All Visits	3320	1438
New Visitors	1438	1438
% of Total	0.4331325301204819	1.0
Wednesday, September 29, 2010
All Visits	3231	1249
New Visitors	1249	1249
% of Total	0.3865676261219437	1.0
# --------------------------------------------------------------------------------
