DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
09-07-2007;00:00:01;16750;41.02;40.71;40.43;41.02
10-07-2007;00:00:01;19439;40.71;40.38;40.27;40.75
11-07-2007;00:00:01;20729;40.38;40.82;40.38;40.98
12-07-2007;00:00:01;25929;40.82;41.55;40.66;41.58
13-07-2007;00:00:01;22207;41.55;41.18;40.82;41.55
16-07-2007;00:00:01;23369;41.18;41.06;40.83;41.23
17-07-2007;00:00:01;25043;41.06;41.47;41.06;41.75
18-07-2007;00:00:01;24081;41.47;41.39;40.91;41.66
19-07-2007;00:00:01;25029;41.39;42.2;41.39;42.55
20-07-2007;00:00:01;26057;42.2;41.61;41.19;42.2
23-07-2007;00:00:01;27009;41.61;42.36;41.61;42.85
24-07-2007;00:00:01;25173;42.36;41.79;41.64;42.63
25-07-2007;00:00:01;25106;41.79;41.72;41.41;42.03
26-07-2007;00:00:01;40550;41.72;41.19;40.3;41.89
27-07-2007;00:00:01;32899;41.19;40.39;40.24;41.19
30-07-2007;00:00:01;30555;40.39;40.89;40.39;41.11
31-07-2007;00:00:01;33836;40.89;40.29;40.1;41.01
01-08-2007;00:00:01;41327;40.29;39.56;38.81;40.29
02-08-2007;00:00:01;32599;39.56;39.52;39.14;39.78
03-08-2007;00:00:01;35580;39.52;38.75;38.7;39.66
06-08-2007;00:00:01;30498;38.75;39.37;38.75;39.79
07-08-2007;00:00:01;26730;39.37;39.41;38.61;39.81
08-08-2007;00:00:01;25242;39.41;40.22;39.41;40.66
09-08-2007;00:00:01;25091;40.22;40.73;40.22;41.74
10-08-2007;00:00:01;20913;40.73;41.06;40.17;41.61
13-08-2007;00:00:01;22116;41.06;40.82;40.63;41.06
14-08-2007;00:00:01;24304;40.82;40.41;40.16;40.91
15-08-2007;00:00:01;24231;40.41;40.21;40.12;41.24
16-08-2007;00:00:01;25229;40.21;39.95;39.28;40.57
17-08-2007;00:00:01;21376;39.95;40.35;39.47;40.5
20-08-2007;00:00:01;21795;40.35;40.73;40.06;40.88
21-08-2007;00:00:01;12190;40.73;40.27;39.86;40.97
22-08-2007;00:00:01;10778;40.27;40.71;40.1;40.94
23-08-2007;00:00:01;11531;40.71;40.38;40.35;40.96
24-08-2007;00:00:01;12046;40.38;40.03;39.8;40.66
27-08-2007;00:00:01;12878;40.03;40.84;40.03;40.96
28-08-2007;00:00:01;13724;40.84;41.32;40.65;41.64
