DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
03-07-2007;00:00:01;9351;530.38;533.73;526.54;535.7
04-07-2007;00:00:01;412;533.73;534.34;533.73;534.35
05-07-2007;00:00:01;24015;534.34;542.06;534.34;545.4
06-07-2007;00:00:01;16301;542.06;540.53;537.65;543.31
09-07-2007;00:00:01;16656;540.53;542.56;540.06;546.82
10-07-2007;00:00:01;18822;542.56;543.36;540.49;547.22
11-07-2007;00:00:01;20650;543.36;544.47;540.58;545.88
12-07-2007;00:00:01;18910;544.47;545.34;539;546.45
13-07-2007;00:00:01;24416;545.34;552.16;545.34;553.76
16-07-2007;00:00:01;36959;552.16;552.86;549.28;558.73
17-07-2007;00:00:01;29056;552.86;555.01;551.29;558.67
18-07-2007;00:00:01;36396;555.01;549.5;543.08;555.01
19-07-2007;00:00:01;61000;549.5;548.59;541.43;552.97
20-07-2007;00:00:01;59635;548.59;520.12;512.99;548.59
23-07-2007;00:00:01;33090;520.12;511.33;511.08;521.33
24-07-2007;00:00:01;32539;511.33;514;509.68;519.64
25-07-2007;00:00:01;36265;514;509.76;504.98;514.12
26-07-2007;00:00:01;57395;509.76;509.25;497.67;512.47
27-07-2007;00:00:01;45547;509.25;511.02;504.21;517.97
30-07-2007;00:00:01;29468;511.02;515.07;511.02;520.45
31-07-2007;00:00:01;40979;515.07;509.81;508.6;519.25
01-08-2007;00:00:01;33469;509.81;512.93;507.53;515.95
02-08-2007;00:00:01;28739;512.93;510.69;507.87;514.68
03-08-2007;00:00:01;34907;510.69;503;501.6;511.11
06-08-2007;00:00:01;31351;503;510;502.45;511.29
07-08-2007;00:00:01;26196;510;516.03;510;521.06
08-08-2007;00:00:01;29322;516.03;525.41;516.03;527.18
09-08-2007;00:00:01;32510;525.41;514.73;513.32;528
10-08-2007;00:00:01;35493;514.73;515.75;505.14;519.42
13-08-2007;00:00:01;18292;515.75;515.5;511.73;518.6
14-08-2007;00:00:01;33663;515.5;508.61;506.69;515.5
15-08-2007;00:00:01;36068;508.61;497.54;495.45;510.48
16-08-2007;00:00:01;44350;497.54;491.52;479.41;497.55
17-08-2007;00:00:01;21487;491.52;500.04;490.82;501.48
20-08-2007;00:00:01;23524;500.04;497.92;494.97;503.11
21-08-2007;00:00:01;14051;497.92;499.97;496.49;503.23
22-08-2007;00:00:01;12473;499.97;513.81;499.96;515.17
23-08-2007;00:00:01;15326;513.81;507.16;505.92;516.7
24-08-2007;00:00:01;11934;507.16;512.71;507.15;513.98
27-08-2007;00:00:01;10835;512.71;514.09;510.6;518.46
28-08-2007;00:00:01;10529;514.09;510.75;508.25;515.76
29-08-2007;00:00:01;8807;510.75;509.35;504.98;511.47
30-08-2007;00:00:01;9167;509.35;512.35;509.35;516.62
31-08-2007;00:00:01;8457;512.35;512.93;510.07;515.16
03-09-2007;00:00:01;415;512.93;515.26;512.92;515.26
04-09-2007;00:00:01;11600;515.26;523;513.87;525.37
05-09-2007;00:00:01;13827;523;524.8;521.36;527.74
06-09-2007;00:00:01;13233;524.8;525.04;517.08;530.54
07-09-2007;00:00:01;11718;525.04;519.75;516.14;525.05
10-09-2007;00:00:01;10459;519.75;513.3;509.77;522.95
11-09-2007;00:00:01;9463;513.3;519.43;513.13;521.89
12-09-2007;00:00:01;8070;519.43;525.68;517.81;526.81
13-09-2007;00:00:01;3079;525.68;527.07;521.36;528.18
14-09-2007;00:00:01;9945;527.07;528.92;521.22;531.06
17-09-2007;00:00:01;10397;528.92;524.78;522.88;530.19
18-09-2007;00:00:01;7478;524.78;527.99;523.36;530.97
19-09-2007;00:00:01;15535;527.99;547.4;527.98;550.7
20-09-2007;00:00:01;13941;547.4;553.54;545.14;555.83
21-09-2007;00:00:01;14803;553.54;561.68;551.42;561.84
24-09-2007;00:00:01;15002;561.68;567.84;558.68;572.54
25-09-2007;00:00:01;12810;567.84;565.45;562.24;570.04
26-09-2007;00:00:01;32610;565.45;567.98;562.72;572.5
27-09-2007;00:00:01;22935;567.98;567.51;564.86;572.83
28-09-2007;00:00:01;28127;567.51;567.43;562.78;570.79
01-10-2007;00:00:01;31417;567.43;581.85;567.27;585.72
02-10-2007;00:00:01;45496;581.85;584.5;579.41;597.8
03-10-2007;00:00:01;25991;584.5;584;579.34;589.76
04-10-2007;00:00:01;25393;584;578.86;575.75;585.2
05-10-2007;00:00:01;32724;578.86;594.82;578.86;597.01
08-10-2007;00:00:01;39907;594.82;609.59;593.45;610.95
09-10-2007;00:00:01;39191;609.59;615.01;607.73;624.7
10-10-2007;00:00:01;26026;615.01;625.34;615.01;626.93
11-10-2007;00:00:01;36853;625.34;621.49;608.03;642.35
12-10-2007;00:00:01;35621;621.49;637.75;618.07;639.09
15-10-2007;00:00:01;41300;637.75;620.6;614.98;640.79
16-10-2007;00:00:01;43778;620.6;615.08;611.57;626.81
17-10-2007;00:00:01;31317;615.08;633.23;615.08;635.31
18-10-2007;00:00:01;45894;633.23;639.36;627.75;642.31
19-10-2007;00:00:01;52931;639.36;644.7;639.36;658.46
22-10-2007;00:00:01;58528;644.7;650.96;635.61;656.19
23-10-2007;00:00:01;48694;650.96;675.5;649.94;678.11
24-10-2007;00:00:01;57173;675.5;675;658.35;678.51
25-10-2007;00:00:01;48328;675;668;662.87;679.54
26-10-2007;00:00:01;45201;668;673.9;666.86;676.86
29-10-2007;00:00:01;33857;673.9;679;671.68;681.36
30-10-2007;00:00:01;47756;679;694.77;676.51;700.97
31-10-2007;00:00:01;32134;694.77;706.67;694.77;707.8
01-11-2007;00:00:01;31998;706.67;703.21;700.89;714.52
02-11-2007;00:00:01;34422;703.21;711.51;697.45;714.18
05-11-2007;00:00:01;46251;711.51;717.95;704.97;731.12
06-11-2007;00:00:01;38348;717.95;735.91;717.95;739.23
07-11-2007;00:00:01;36873;735.91;739.73;735;748.29
08-11-2007;00:00:01;51701;739.73;691.59;677.18;739.73
09-11-2007;00:00:01;36654;691.59;676.79;662.23;695.28
12-11-2007;00:00:01;38012;676.79;646.9;638.7;676.79
13-11-2007;00:00:01;32529;646.9;656.3;630.64;659.45
14-11-2007;00:00:01;32018;656.3;646.69;645.32;676
15-11-2007;00:00:01;28658;646.69;627.7;627.24;648.76
16-11-2007;00:00:01;31235;627.7;631.72;614.9;636.63
19-11-2007;00:00:01;55774;631.72;628.67;617.16;637.4
20-11-2007;00:00:01;78626;628.67;640;624.45;659.85
21-11-2007;00:00:01;69338;640;659.86;640;671.16
22-11-2007;00:00:01;410;659.86;659.86;659.85;659.87
23-11-2007;00:00:01;30828;659.86;676.69;659.75;679.16
26-11-2007;00:00:01;110336;676.69;666;663.81;694.09
27-11-2007;00:00:01;110229;666;675.27;649.46;677.2
28-11-2007;00:00:01;91499;675.27;692.25;672.14;695.51
29-11-2007;00:00:01;105085;692.25;696.52;686.84;703
30-11-2007;00:00:01;65470;696.52;690.5;682.11;711.17
03-12-2007;00:00:01;54981;690.5;681.98;680.23;695.98
04-12-2007;00:00:01;59714;681.98;684.31;676.41;692.95
05-12-2007;00:00:01;74044;684.31;698.3;684.16;700.24
06-12-2007;00:00:01;81959;698.3;715.56;696.48;717.37
07-12-2007;00:00:01;65700;715.56;714.69;710.12;719.15
10-12-2007;00:00:01;32813;714.69;718.42;713.66;724.8
11-12-2007;00:00:01;72040;718.42;699.21;697.96;722.31
12-12-2007;00:00:01;130404;699.21;698.37;688.11;715.12
13-12-2007;00:00:01;112951;698.37;693.32;680.09;700.45
14-12-2007;00:00:01;77100;693.32;690.19;687.05;700.68
17-12-2007;00:00:01;132852;690.19;669.6;662.4;695.94
18-12-2007;00:00:01;61008;669.6;672.89;653.02;677.95
19-12-2007;00:00:01;62630;672.89;677.31;668.04;680.52
20-12-2007;00:00:01;62578;677.31;689.51;677.31;691.59
21-12-2007;00:00:01;49760;689.51;696;689.51;700.47
24-12-2007;00:00:01;18500;696;700.74;692.74;702.01
25-12-2007;00:00:01;422;700.74;700.72;700.72;700.75
26-12-2007;00:00:01;35928;700.72;710;697.05;714.27
27-12-2007;00:00:01;57031;710;702.57;699.94;716.37
28-12-2007;00:00:01;45359;702.57;702.47;695.38;708.22
31-12-2007;00:00:01;31763;702.47;691.36;689.58;703.5
01-01-2008;00:00:01;348;691.36;691.47;691.35;691.49
