DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
09-07-2007;00:00:01;29387;29.96;29.88;29.8;29.96
10-07-2007;00:00:01;34960;29.88;29.32;29.18;29.96
11-07-2007;00:00:01;32579;29.32;29.48;29.32;29.67
12-07-2007;00:00:01;40810;29.48;30.07;29.48;30.12
13-07-2007;00:00:01;34518;30.07;29.83;29.65;30.07
16-07-2007;00:00:01;42403;29.83;30.03;29.83;30.25
17-07-2007;00:00:01;52103;30.03;30.75;30.03;30.89
18-07-2007;00:00:01;45887;30.75;30.92;30.52;30.97
19-07-2007;00:00:01;60438;30.92;31.51;30.92;31.85
20-07-2007;00:00:01;44676;31.51;31.15;30.83;31.51
23-07-2007;00:00:01;40693;31.15;31.2;31.12;31.53
24-07-2007;00:00:01;40685;31.2;30.81;30.71;31.49
25-07-2007;00:00:01;43315;30.81;30.71;30.37;30.81
26-07-2007;00:00:01;68596;30.71;29.98;29.51;30.71
27-07-2007;00:00:01;57949;29.98;29.4;29.35;29.98
30-07-2007;00:00:01;51704;29.4;29.41;28.95;29.46
31-07-2007;00:00:01;52261;29.41;28.98;28.96;29.7
01-08-2007;00:00:01;63756;28.98;29.3;28.81;29.53
02-08-2007;00:00:01;53950;29.3;29.53;29.3;29.8
03-08-2007;00:00:01;60366;29.53;28.96;28.89;29.67
06-08-2007;00:00:01;43952;28.96;29.54;28.74;29.56
07-08-2007;00:00:01;39929;29.54;29.54;29.05;29.8
08-08-2007;00:00:01;45560;29.54;29.99;29.47;30.03
09-08-2007;00:00:01;49556;29.99;28.93;28.89;30.08
10-08-2007;00:00:01;46734;28.93;28.71;28.25;28.93
13-08-2007;00:00:01;41902;28.71;28.64;28.44;28.99
14-08-2007;00:00:01;45416;28.64;28.27;28.2;28.64
15-08-2007;00:00:01;46497;28.27;28.11;28.04;29
16-08-2007;00:00:01;51427;28.11;27.82;27.5;28.36
17-08-2007;00:00:01;46111;27.82;28.25;27.81;28.28
20-08-2007;00:00:01;42870;28.25;28.28;28.07;28.46
21-08-2007;00:00:01;20149;28.28;28.06;27.86;28.33
22-08-2007;00:00:01;19806;28.06;28.2;28.04;28.31
23-08-2007;00:00:01;20827;28.2;28.1;28.09;28.34
24-08-2007;00:00:01;20491;28.1;28.41;28.06;28.42
27-08-2007;00:00:01;18917;28.41;28.44;28.4;28.83
28-08-2007;00:00:01;18761;28.44;28.32;28.2;28.52
29-08-2007;00:00:01;21811;28.32;28.24;27.81;28.33
30-08-2007;00:00:01;20208;28.24;28.86;28.22;28.94
31-08-2007;00:00:01;21294;28.86;28.66;28.36;28.88
03-09-2007;00:00:01;5838;28.66;28.73;28.65;28.74
04-09-2007;00:00:01;22581;28.73;28.88;28.51;29.07
05-09-2007;00:00:01;25859;28.88;28.56;28.42;28.89
06-09-2007;00:00:01;18633;28.56;28.92;28.45;28.94
07-09-2007;00:00:01;18668;28.92;28.6;28.5;28.94
10-09-2007;00:00:01;18672;28.6;28.48;28.4;28.75
11-09-2007;00:00:01;18758;28.48;28.78;28.45;28.95
12-09-2007;00:00:01;15963;28.78;29.04;28.78;29.18
13-09-2007;00:00:01;10398;29.04;29.08;28.9;29.15
14-09-2007;00:00:01;17232;29.08;28.98;28.87;29.19
17-09-2007;00:00:01;20998;28.98;28.71;28.63;29.07
18-09-2007;00:00:01;20731;28.71;28.43;28.39;28.87
19-09-2007;00:00:01;25282;28.43;28.5;28.41;28.96
20-09-2007;00:00:01;19480;28.5;28.4;28.34;28.7
21-09-2007;00:00:01;22968;28.4;28.73;28.39;28.83
24-09-2007;00:00:01;25695;28.73;29.6;28.62;29.61
25-09-2007;00:00:01;27789;29.6;29.4;29.05;29.61
26-09-2007;00:00:01;59654;29.4;29.48;29.4;29.86
27-09-2007;00:00:01;48574;29.48;29.5;29.43;29.72
28-09-2007;00:00:01;62746;29.5;29.47;29.22;29.69
01-10-2007;00:00:01;48620;29.47;29.76;29.4;29.8
02-10-2007;00:00:01;43615;29.76;29.68;29.56;29.86
03-10-2007;00:00:01;41497;29.68;29.46;29.28;29.7
04-10-2007;00:00:01;38368;29.46;29.72;29.44;29.78
05-10-2007;00:00:01;43191;29.72;29.86;29.72;30
08-10-2007;00:00:01;47391;29.86;29.83;29.59;29.86
09-10-2007;00:00:01;37419;29.83;30.1;29.83;30.39
10-10-2007;00:00:01;29127;30.1;30.25;30.03;30.37
11-10-2007;00:00:01;32321;30.25;29.91;29.79;30.63
12-10-2007;00:00:01;31799;29.91;30.17;29.9;30.41
15-10-2007;00:00:01;42263;30.17;30.09;29.99;30.33
16-10-2007;00:00:01;40579;30.09;30.33;30.06;30.59
17-10-2007;00:00:01;41660;30.33;31.08;30.33;31.23
18-10-2007;00:00:01;39718;31.08;31.14;30.64;31.21
19-10-2007;00:00:01;43625;31.14;30.2;30.1;31.16
22-10-2007;00:00:01;53243;30.2;30.51;30.12;30.71
23-10-2007;00:00:01;47890;30.51;30.91;30.51;31.13
24-10-2007;00:00:01;48315;30.91;31.27;30.49;31.31
25-10-2007;00:00:01;55667;31.27;32.01;31.27;32.23
26-10-2007;00:00:01;72273;32.01;35.07;32.01;35.87
29-10-2007;00:00:01;62767;35.07;34.57;34.45;35.29
30-10-2007;00:00:01;61428;34.57;35.53;34.34;35.59
31-10-2007;00:00:01;57763;35.53;36.8;35.51;37.01
01-11-2007;00:00:01;50571;36.8;37.09;36.36;37.5
02-11-2007;00:00:01;48270;37.09;37.1;36.42;37.32
05-11-2007;00:00:01;41676;37.1;36.74;36.64;37.11
06-11-2007;00:00:01;40322;36.74;36.31;35.86;36.76
07-11-2007;00:00:01;39678;36.31;35.85;35.79;36.44
08-11-2007;00:00:01;40388;35.85;34.7;34.52;35.91
09-11-2007;00:00:01;39996;34.7;33.98;33.65;34.77
12-11-2007;00:00:01;41029;33.98;33.62;33.02;33.99
13-11-2007;00:00:01;38501;33.62;34.06;33.35;34.08
14-11-2007;00:00:01;36172;34.06;33.95;33.83;34.75
15-11-2007;00:00:01;33176;33.95;33.7;33.58;34.11
16-11-2007;00:00:01;33865;33.7;33.88;33.69;34.26
19-11-2007;00:00:01;65573;33.88;34.1;33.86;34.25
20-11-2007;00:00:01;84340;34.1;34.43;33.94;34.98
21-11-2007;00:00:01;86780;34.43;34.16;34.16;34.73
22-11-2007;00:00:01;5879;34.16;34.15;34.14;34.16
23-11-2007;00:00:01;40019;34.15;34.1;33.7;34.45
26-11-2007;00:00:01;94792;34.1;32.97;32.93;34.38
27-11-2007;00:00:01;73561;32.97;33.04;32.67;33.6
28-11-2007;00:00:01;84749;33.04;33.7;32.9;33.9
