Gemeente,2013,Provincie,2009,2010,2011,2012
Aa en Hunze,25541,Drenthe,253,268,260,196
Aalburg,12774,Noord-Brabant,76,83,77,57
Aalsmeer,30618,Noord-Holland,139,148,137,106
Aalten,27082,Gelderland,256,251,268,262
Achtkarspelen,28110,Friesland,112,125,139,91
Alblasserdam,19643,Zuid-Holland,71,65,74,62
Albrandswaard,25101,Zuid-Holland,87,75,92,65
Alkmaar,94505,Noord-Holland,193,194,179,53
Almelo,72729,Overijssel,300,311,308,182
Almere,195213,Flevoland,497,545,512,369
Alphen aan den Rijn,72913,Zuid-Holland,189,176,171,117
Alphen-Chaam,9640,Noord-Brabant,102,108,110,81
Ameland,3525,Friesland,96,86,95,88
Amersfoort,149662,Utrecht,401,438,428,200
Amstelveen,84379,Noord-Holland,249,243,234,185
Amsterdam,799278,Noord-Holland,1658,1596,1578,1229
Apeldoorn,157315,Gelderland,675,686,679,544
Appingedam,12053,Groningen,44,54,54,47
Arnhem,149827,Gelderland,403,404,369,330
Assen,67204,Drenthe,277,260,246,217
Asten,16392,Noord-Brabant,71,83,77,71
Baarle-Nassau,6699,Noord-Brabant,73,75,72,53
Baarn,24277,Utrecht,118,138,129,106
Barendrecht,47371,Zuid-Holland,116,128,135,95
Barneveld,53751,Gelderland,371,350,341,317
Bedum,10553,Groningen,52,60,59,53
Beek,16367,Limburg,60,63,63,60
Beemster,8785,Noord-Holland,66,59,56,39
Beesel,13688,Limburg,91,89,80,52
Bellingwedde,8985,Groningen,94,97,97,92
Bergambacht,9938,Zuid-Holland,51,60,47,37
Bergeijk,18191,Noord-Brabant,157,197,159,168
Bergen (L.),13275,Limburg,148,159,146,98
Bergen (NH.),30333,Noord-Holland,116,115,114,67
Bergen op Zoom,66287,Noord-Brabant,245,227,226,154
Berkelland,44769,Gelderland,514,516,488,394
Bernheze,29775,Noord-Brabant,215,174,189,182
Bernisse,12398,Zuid-Holland,155,164,156,136
Best,28637,Noord-Brabant,98,111,112,58
Beuningen,25324,Gelderland,104,106,113,90
Beverwijk,40070,Noord-Holland,110,112,109,29
Binnenmaas,28964,Zuid-Holland,158,163,169,146
Bladel,19635,Noord-Brabant,111,117,94,108
Blaricum,9107,Noord-Holland,65,68,71,51
Bloemendaal,22195,Noord-Holland,128,124,162,136
Boarnsterhim,19505,Friesland,138,128,122,97
Bodegraven-Reeuwijk,32817,Zuid-Holland,196,184,205,156
Boekel,10062,Noord-Brabant,58,57,63,29
Borger-Odoorn,25662,Drenthe,197,205,199,187
Borne,21770,Overijssel,132,142,140,97
Borsele,22683,Zeeland,307,322,336,219
Boskoop,15195,Zuid-Holland,43,50,40,36
Boxmeer,28227,Noord-Brabant,197,113,201,193
Boxtel,30436,Noord-Brabant,127,118,153,139
Breda,178140,Noord-Brabant,548,530,557,231
Brielle,16320,Zuid-Holland,83,89,89,70
Bronckhorst,37216,Gelderland,546,526,532,528
Brummen,21245,Gelderland,136,129,135,138
Brunssum,29081,Limburg,136,129,127,48
Bunnik,14563,Utrecht,87,88,86,67
Bunschoten,20316,Utrecht,164,164,166,67
Buren,25939,Gelderland,270,302,295,163
Bussum,32631,Noord-Holland,191,189,171,163
Capelle aan den IJssel,66024,Zuid-Holland,121,121,120,104
Castricum,34402,Noord-Holland,148,145,127,44
Coevorden,35765,Drenthe,255,271,272,254
Cranendonck,20330,Noord-Brabant,142,142,146,139
Cromstrijen,12762,Zuid-Holland,145,138,135,112
Cuijk,24743,Noord-Brabant,144,129,143,120
Culemborg,27681,Gelderland,120,102,108,48
Dalfsen,27570,Overijssel,171,171,174,126
Dantumadiel,19130,Friesland,91,88,85,78
De Bilt,42032,Utrecht,252,245,259,173
De Marne,10336,Groningen,138,132,137,109
De Ronde Venen,42846,Utrecht,305,291,313,253
De Wolden,23761,Drenthe,150,144,159,95
Delft,99097,Zuid-Holland,182,198,182,144
Delfzijl,26025,Groningen,226,235,218,211
Den Helder,56947,Noord-Holland,264,267,286,247
Deurne,31733,Noord-Brabant,228,214,226,223
Deventer,98581,Overijssel,339,344,356,193
Diemen,25218,Noord-Holland,68,68,81,59
Dinkelland,26056,Overijssel,388,404,415,337
Doesburg,11539,Gelderland,53,58,61,63
Doetinchem,56414,Gelderland,283,308,302,276
Dongen,25382,Noord-Brabant,103,112,99,102
Dongeradeel,24221,Friesland,141,142,132,125
Dordrecht,118466,Zuid-Holland,304,297,283,232
Drechterland,19298,Noord-Holland,122,129,120,83
Drimmelen,26737,Noord-Brabant,195,206,214,75
Dronten,40679,Flevoland,187,180,177,182
Druten,18203,Gelderland,134,136,159,117
Duiven,25554,Gelderland,108,110,100,47
Echt-Susteren,32072,Limburg,303,301,265,175
Edam-Volendam,28754,Noord-Holland,86,101,108,36
Ede,109823,Gelderland,533,536,551,263
Eemnes,8795,Utrecht,66,56,73,55
Eemsmond,16083,Groningen,203,191,178,170
Eersel,18196,Noord-Brabant,216,210,153,197
Eijsden-Margraten,25049,Limburg,119,123,116,78
Eindhoven,218433,Noord-Brabant,328,393,379,158
Elburg,22510,Gelderland,146,166,156,138
Emmen,108392,Drenthe,484,469,453,405
Enkhuizen,18315,Noord-Holland,83,89,84,60
Enschede,158627,Overijssel,548,535,544,368
Epe,32385,Gelderland,200,228,226,213
Ermelo,26120,Gelderland,194,202,193,93
Etten-Leur,42274,Noord-Brabant,118,141,138,57
Ferwerderadiel,8856,Friesland,45,47,50,36
Franekeradeel,20476,Friesland,64,71,74,58
Gaasterlân-Sleat,10196,Friesland,50,58,53,52
Geertruidenberg,21513,Noord-Brabant,116,109,107,37
Geldermalsen,26240,Gelderland,234,223,243,237
Geldrop-Mierlo,38768,Noord-Brabant,145,144,152,111
Gemert-Bakel,29101,Noord-Brabant,168,174,170,168
Gennep,17319,Limburg,115,127,130,47
Giessenlanden,14466,Zuid-Holland,109,106,103,109
Gilze en Rijen,25858,Noord-Brabant,141,150,139,134
Goeree-Overflakkee,48259,Zuid-Holland,508,504,492,420
Goes,36971,Zeeland,193,193,212,135
Goirle,22933,Noord-Brabant,103,119,117,84
Gorinchem,35128,Zuid-Holland,134,127,125,85
Gouda,70904,Zuid-Holland,177,175,160,141
Graft-De Rijp,6429,Noord-Holland,32,32,39,10
Grave,12731,Noord-Brabant,71,70,78,67
Groesbeek,19009,Gelderland,151,143,131,112
Groningen,195418,Groningen,431,420,412,377
Grootegast,12222,Groningen,102,110,111,109
Gulpen-Wittem,14444,Limburg,146,145,151,139
Haaksbergen,24322,Overijssel,258,267,278,186
Haaren,13572,Noord-Brabant,129,123,122,125
Haarlem,153093,Noord-Holland,426,436,435,306
Haarlemmerliede CA,5526,Noord-Holland,38,30,35,17
Haarlemmermeer,144153,Noord-Holland,711,703,695,353
Halderberge,29231,Noord-Brabant,176,164,167,87
Hardenberg,59585,Overijssel,325,324,316,322
Harderwijk,45650,Gelderland,206,199,221,65
Hardinxveld-Giessendam,17722,Zuid-Holland,86,92,91,77
Haren,18642,Groningen,98,98,102,91
Harlingen,15854,Friesland,67,64,65,28
Hattem,11769,Gelderland,27,25,25,23
Heemskerk,39117,Noord-Holland,107,129,125,55
Heemstede,26317,Noord-Holland,90,91,94,66
Heerde,18399,Gelderland,89,91,94,92
Heerenveen,43323,Friesland,140,149,154,106
Heerhugowaard,52893,Noord-Holland,186,183,182,74
Heerlen,88747,Limburg,276,255,261,102
Heeze-Leende,15405,Noord-Brabant,125,124,135,140
Heiloo,22594,Noord-Holland,77,67,69,17
Hellendoorn,35743,Overijssel,202,199,201,152
Hellevoetsluis,39086,Zuid-Holland,122,138,133,94
Helmond,89023,Noord-Brabant,422,401,391,373
Hendrik-Ido-Ambacht,28641,Zuid-Holland,72,76,86,61
Hengelo,80952,Overijssel,314,308,287,198
het Bildt,10646,Friesland,76,79,82,38
Heumen,16455,Gelderland,89,87,76,67
Heusden,43244,Noord-Brabant,342,346,348,101
Hillegom,20868,Zuid-Holland,67,46,75,53
Hilvarenbeek,15086,Noord-Brabant,86,91,97,73
Hilversum,86017,Noord-Holland,320,264,251,226
Hof van Twente,35215,Overijssel,450,443,457,369
Hollands Kroon,47643,Noord-Holland,450,484,473,275
Hoogeveen,54874,Drenthe,272,254,263,137
Hoogezand-Sappemeer,34523,Groningen,109,101,98,88
Hoorn,71360,Noord-Holland,208,216,223,157
Horst aan de Maas,41810,Limburg,416,409,397,262
Houten,48429,Utrecht,118,122,143,120
Huizen,41445,Noord-Holland,181,203,199,162
Hulst,27514,Zeeland,278,284,310,182
IJsselstein,34254,Utrecht,94,110,99,103
Kaag en Braassem,25715,Zuid-Holland,150,167,151,130
Kampen,50924,Overijssel,245,256,269,193
Kapelle,12495,Zeeland,109,103,113,83
Katwijk,62688,Zuid-Holland,198,172,189,94
Kerkrade,47194,Limburg,190,210,204,183
Koggenland,22376,Noord-Holland,82,88,91,61
Kollumerland CA,12829,Friesland,109,116,116,73
Korendijk,10774,Zuid-Holland,124,125,142,125
Krimpen aan den IJssel,28855,Zuid-Holland,71,75,68,46
Laarbeek,21767,Noord-Brabant,104,123,109,108
Landerd,15223,Noord-Brabant,109,75,103,93
Landgraaf,37911,Limburg,138,137,131,115
Landsmeer,10454,Noord-Holland,63,56,58,26
Langedijk,26899,Noord-Holland,141,148,147,53
Lansingerland,56506,Zuid-Holland,214,250,259,194
Laren,10889,Noord-Holland,63,61,60,47
Leek,19611,Groningen,100,92,86,52
Leerdam,20718,Zuid-Holland,98,96,91,90
Leeuwarden,95949,Friesland,345,345,355,276
Leeuwarderadeel,10314,Friesland,64,63,66,49
Leiden,119800,Zuid-Holland,300,283,298,235
Leiderdorp,26743,Zuid-Holland,104,112,111,79
Leidschendam-Voorburg,72588,Zuid-Holland,194,212,193,149
Lelystad,75778,Flevoland,308,316,306,309
Lemsterland,13566,Friesland,73,80,69,44
Leudal,36426,Limburg,370,394,416,222
Leusden,28969,Utrecht,148,163,155,84
Lingewaal,11007,Gelderland,133,116,129,115
Lingewaard,45818,Gelderland,215,218,211,183
Lisse,22393,Zuid-Holland,72,51,77,74
Littenseradiel,10948,Friesland,60,60,57,48
Lochem,33308,Gelderland,314,319,333,214
Loon op Zand,23083,Noord-Brabant,112,127,121,62
Lopik,13992,Utrecht,195,186,179,153
Loppersum,10292,Groningen,76,81,72,64
Losser,22554,Overijssel,271,268,258,242
Maasdonk,11220,Noord-Brabant,147,126,131,140
Maasdriel,24092,Gelderland,235,246,244,216
Maasgouw,24017,Limburg,211,252,207,126
Maassluis,31985,Zuid-Holland,85,80,82,59
Maastricht,121819,Limburg,207,201,204,88
Marum,10382,Groningen,71,69,85,62
Medemblik,43248,Noord-Holland,202,194,186,155
Meerssen,19362,Limburg,75,77,79,35
Menameradiel,13727,Friesland,66,63,65,46
Menterwolde,12370,Groningen,71,64,67,72
Meppel,32726,Drenthe,74,71,77,32
Middelburg,47523,Zeeland,198,186,184,95
Midden-Delfland,18251,Zuid-Holland,114,101,104,63
Midden-Drenthe,33422,Drenthe,271,255,254,247
Mill en Sint Hubert,10906,Noord-Brabant,112,107,121,110
Millingen aan de Rijn,5924,Gelderland,38,37,39,28
Moerdijk,36625,Noord-Brabant,198,195,204,141
Molenwaard,29190,Zuid-Holland,224,230,244,189
Montferland,34834,Gelderland,309,336,326,304
Montfoort,13621,Utrecht,57,60,57,53
Mook en Middelaar,7827,Limburg,42,41,41,20
Muiden,6393,Noord-Holland,37,36,37,36
Naarden,17263,Noord-Holland,104,111,107,48
Neder-Betuwe,22593,Gelderland,191,198,192,183
Nederlek,14131,Zuid-Holland,59,54,51,31
Nederweert,16785,Limburg,188,176,193,112
Neerijnen,12022,Gelderland,178,154,164,154
Nieuwegein,60895,Utrecht,191,197,199,161
Nieuwkoop,27082,Zuid-Holland,169,182,180,141
Nijkerk,40355,Gelderland,203,208,211,108
Nijmegen,166382,Gelderland,366,389,351,188
Noord-Beveland,7509,Zeeland,134,145,151,121
Noordenveld,31024,Drenthe,248,248,243,154
Noordoostpolder,46284,Flevoland,244,247,255,165
Noordwijk,25671,Zuid-Holland,76,86,87,67
Noordwijkerhout,15740,Zuid-Holland,127,137,136,109
Nuenen CA,22645,Noord-Brabant,117,126,128,106
Nunspeet,26628,Gelderland,276,273,279,237
Nuth,15494,Limburg,134,136,136,87
Oegstgeest,23153,Zuid-Holland,58,57,47,41
Oirschot,17926,Noord-Brabant,129,138,133,110
Oisterwijk,25770,Noord-Brabant,120,139,130,104
Oldambt,38748,Groningen,303,296,300,276
Oldebroek,22774,Gelderland,143,148,132,128
Oldenzaal,32200,Overijssel,122,126,118,82
Olst-Wijhe,17751,Overijssel,102,97,108,78
Ommen,17314,Overijssel,142,154,146,137
Onderbanken,7905,Limburg,69,68,63,42
Oost Gelre,29873,Gelderland,244,266,261,240
Oosterhout,53686,Noord-Brabant,243,236,257,90
Ooststellingwerf,25836,Friesland,159,164,155,97
Oostzaan,9141,Noord-Holland,58,74,67,54
Opmeer,11379,Noord-Holland,53,46,58,42
Opsterland,29896,Friesland,156,152,142,94
Oss,84861,Noord-Brabant,657,494,605,557
Oud-Beijerland,23441,Zuid-Holland,95,99,89,69
Oude IJsselstreek,39779,Gelderland,432,447,458,460
Ouder-Amstel,13249,Noord-Holland,31,30,41,31
Ouderkerk,8147,Zuid-Holland,57,65,64,69
Oudewater,9872,Utrecht,43,40,47,38
Overbetuwe,46531,Gelderland,340,324,343,158
Papendrecht,32082,Zuid-Holland,128,130,146,93
Peel en Maas,43302,Limburg,307,349,352,232
Pekela,12804,Groningen,82,83,92,92
Pijnacker-Nootdorp,50454,Zuid-Holland,163,158,140,115
Purmerend,79482,Noord-Holland,237,244,235,92
Putten,23971,Gelderland,202,217,223,138
Raalte,36486,Overijssel,214,222,219,162
Reimerswaal,21859,Zeeland,204,217,206,149
Renkum,31565,Gelderland,128,155,139,76
Renswoude,4893,Utrecht,36,31,38,29
Reusel-De Mierden,12670,Noord-Brabant,127,128,123,126
Rheden,43679,Gelderland,238,252,244,233
Rhenen,19047,Utrecht,99,99,91,70
Ridderkerk,45330,Zuid-Holland,134,135,130,100
Rijnwaarden,10968,Gelderland,125,124,116,44
Rijnwoude,18577,Zuid-Holland,97,93,88,74
Rijssen-Holten,37608,Overijssel,311,334,342,212
Rijswijk,47372,Zuid-Holland,160,144,125,112
Roerdalen,20996,Limburg,298,287,300,207
Roermond,56690,Limburg,313,334,308,149
Roosendaal,77155,Noord-Brabant,327,382,402,163
Rotterdam,616294,Zuid-Holland,1132,1167,1145,853
Rozendaal,1501,Gelderland,11,8,10,10
Rucphen,22268,Noord-Brabant,285,280,287,123
's-Gravenhage,505856,Zuid-Holland,1258,1208,1135,862
's-Hertogenbosch,142817,Noord-Brabant,508,447,480,294
Schagen,46207,Noord-Holland,190,190,196,119
Schermer,5501,Noord-Holland,48,56,68,33
Scherpenzeel,9403,Gelderland,93,69,67,24
Schiedam,76216,Zuid-Holland,175,146,163,119
Schiermonnikoog,960,Friesland,21,19,17,14
Schijndel,23262,Noord-Brabant,176,174,185,159
Schinnen,12950,Limburg,107,110,108,99
Schoonhoven,11864,Zuid-Holland,32,28,37,28
Schouwen-Duiveland,34040,Zeeland,409,417,390,353
Simpelveld,10920,Limburg,49,52,54,53
Sint Anthonis,11760,Noord-Brabant,72,75,85,64
Sint-Michielsgestel,28040,Noord-Brabant,224,226,217,194
Sint-Oedenrode,17921,Noord-Brabant,127,126,128,120
Sittard-Geleen,94024,Limburg,337,359,362,371
Skarsterlan,27419,Friesland,121,143,151,103
Sliedrecht,24389,Zuid-Holland,87,83,82,64
Slochteren,15622,Groningen,129,131,133,99
Sluis,23886,Zeeland,249,244,268,188
Smallingerland,55454,Friesland,203,212,207,111
Soest,45508,Utrecht,222,242,217,194
Someren,18628,Noord-Brabant,130,140,145,143
Son en Breugel,16138,Noord-Brabant,50,58,57,23
Spijkenisse,72375,Zuid-Holland,176,169,168,129
Stadskanaal,32885,Groningen,186,190,184,110
Staphorst,16275,Overijssel,94,93,86,68
Stede Broec,21430,Noord-Holland,71,75,72,66
Steenbergen,23400,Noord-Brabant,226,234,254,173
Steenwijkerland,43437,Overijssel,323,330,318,203
Stein,25431,Limburg,217,207,226,215
Stichtse Vecht,63491,Utrecht,339,325,344,309
Strijen,8777,Zuid-Holland,103,105,104,92
Sudwest-Fryslan,82639,Friesland,448,421,456,391
Ten Boer,7500,Groningen,56,59,53,44
Terneuzen,54729,Zeeland,383,359,378,211
Terschelling,4795,Friesland,63,66,91,72
Texel,13662,Noord-Holland,225,217,219,211
Teylingen,35800,Zuid-Holland,111,113,138,110
Tholen,25514,Zeeland,349,350,353,254
Tiel,41751,Gelderland,199,212,209,225
Tilburg,208527,Noord-Brabant,578,646,631,355
Tubbergen,21172,Overijssel,372,393,395,355
Twenterand,33971,Overijssel,223,229,219,138
Tynaarlo,32456,Drenthe,203,211,210,194
Tytsjerksteradiel,31979,Friesland,205,228,218,152
Ubbergen,9504,Gelderland,82,87,81,72
Uden,40948,Noord-Brabant,196,98,214,201
Uitgeest,13061,Noord-Holland,30,25,40,19
Uithoorn,28387,Noord-Holland,70,70,80,57
Urk,19225,Flevoland,42,39,45,34
Utrecht,321916,Utrecht,537,552,542,402
Utrechtse Heuvelrug,48092,Utrecht,340,349,360,250
Vaals,9771,Limburg,55,51,54,49
Valkenburg aan de Geul,16814,Limburg,101,103,112,52
Valkenswaard,30584,Noord-Brabant,147,166,94,169
Veendam,27914,Groningen,115,110,122,102
Veenendaal,63032,Utrecht,173,181,182,130
Veere,21903,Zeeland,275,274,296,157
Veghel,37437,Noord-Brabant,177,204,200,86
Veldhoven,44092,Noord-Brabant,125,132,128,83
Velsen,67122,Noord-Holland,247,260,257,242
Venlo,100159,Limburg,502,488,492,288
Venray,43038,Limburg,254,318,285,211
Vianen,19670,Utrecht,97,90,91,81
Vlaardingen,70905,Zuid-Holland,179,175,177,124
Vlagtwedde,16132,Groningen,152,161,160,134
Vlieland,1114,Friesland,15,15,14,8
Vlissingen,44451,Zeeland,171,181,166,68
Vlist,9730,Zuid-Holland,48,47,54,31
Voerendaal,12617,Limburg,74,69,76,46
Voorschoten,24658,Zuid-Holland,99,96,107,76
Voorst,23724,Gelderland,171,172,177,174
Vught,25564,Noord-Brabant,139,135,127,148
Waalre,16725,Noord-Brabant,84,102,65,92
Waalwijk,46438,Noord-Brabant,184,185,183,70
Waddinxveen,25217,Zuid-Holland,104,108,102,99
Wageningen,37408,Gelderland,100,98,105,45
Wassenaar,25656,Zuid-Holland,155,156,165,146
Waterland,17091,Noord-Holland,91,105,105,67
Weert,48587,Limburg,278,299,304,130
Weesp,18151,Noord-Holland,88,85,77,76
Werkendam,26405,Noord-Brabant,270,267,234,187
West Maas en Waal,18410,Gelderland,173,189,184,160
Westerveld,19091,Drenthe,194,188,182,127
Westervoort,15199,Gelderland,51,52,42,22
Westland,102698,Zuid-Holland,402,379,344,260
Weststellingwerf,25595,Friesland,157,150,169,133
Westvoorne,13890,Zuid-Holland,126,131,139,96
Wierden,23807,Overijssel,192,190,198,168
Wijchen,41004,Gelderland,189,171,189,165
Wijdemeren,23221,Noord-Holland,188,166,164,146
Wijk bij Duurstede,23035,Utrecht,140,145,143,105
Winsum,13906,Groningen,66,73,69,41
Winterswijk,28967,Gelderland,213,224,226,163
Woensdrecht,21648,Noord-Brabant,140,151,147,78
Woerden,50346,Utrecht,245,242,219,223
Wormerland,15740,Noord-Holland,59,58,52,23
Woudenberg,12321,Utrecht,78,65,70,32
Woudrichem,14443,Noord-Brabant,129,162,134,100
Zaanstad,149622,Noord-Holland,443,495,524,185
Zaltbommel,26953,Gelderland,156,163,168,88
Zandvoort,16593,Noord-Holland,92,90,88,62
Zederik,13538,Zuid-Holland,98,99,104,86
Zeevang,6317,Noord-Holland,32,29,35,28
Zeewolde,21262,Flevoland,126,122,110,94
Zeist,61420,Utrecht,184,176,177,106
Zevenaar,32405,Gelderland,204,192,175,96
Zoetermeer,123092,Zuid-Holland,298,317,313,269
Zoeterwoude,8122,Zuid-Holland,44,41,47,39
Zuidhorn,18699,Groningen,145,137,129,132
Zuidplas,40779,Zuid-Holland,188,191,181,173
Zundert,21241,Noord-Brabant,322,317,323,159
Zutphen,47240,Gelderland,171,159,155,149
Zwartewaterland,22139,Overijssel,106,105,106,59
Zwijndrecht,44610,Zuid-Holland,170,169,167,119
